run_id,tag,model,Kx,Ku,Kv,seed,method,exit_code,elapsed_s
1,baseline,125M,1,1,1,42,DDP,0,4
2,baseline,350M,1,1,1,42,DDP,0,4
3,desloc,125M,32,96,192,42,DESLOC,0,3
4,desloc,350M,32,96,192,42,DESLOC,0,3
5,local,125M,32,32,32,42,LocalAdam,0,3
6,local,350M,32,32,32,42,LocalAdam,0,3
7,baseline,125M,1,1,1,137,DDP,0,3
8,baseline,350M,1,1,1,137,DDP,0,3
9,desloc,125M,32,96,192,137,DESLOC,0,4
10,desloc,350M,32,96,192,137,DESLOC,0,5
11,local,125M,32,32,32,137,LocalAdam,0,3
12,local,350M,32,32,32,137,LocalAdam,0,3
13,baseline,125M,1,1,1,2024,DDP,0,3
14,baseline,350M,1,1,1,2024,DDP,0,3
15,desloc,125M,32,96,192,2024,DESLOC,0,3
16,desloc,350M,32,96,192,2024,DESLOC,0,4
17,local,125M,32,32,32,2024,LocalAdam,0,4
18,local,350M,32,32,32,2024,LocalAdam,0,3
20,rq1_kx,125M,1,1,1,42,DESLOC,0,3
19,rq2_ratio,125M,32,32,32,42,DESLOC,0,3
22,rq2_ratio,125M,32,32,32,137,DESLOC,0,3
21,rq1_kx,125M,1,1,1,137,DESLOC,0,3
24,rq1_kx,125M,2,6,12,42,DESLOC,0,4
23,rq2_ratio,125M,32,32,192,42,DESLOC,0,4
26,rq2_ratio,125M,32,32,192,137,DESLOC,0,3
25,rq1_kx,125M,2,6,12,137,DESLOC,0,3
28,rq1_kx,125M,4,12,24,42,DESLOC,0,3
27,rq2_ratio,125M,32,32,384,42,DESLOC,0,3
29,rq1_kx,125M,4,12,24,137,DESLOC,0,4
30,rq2_ratio,125M,32,32,384,137,DESLOC,0,3
31,rq1_kx,125M,8,24,48,42,DESLOC,0,3
32,rq2_ratio,125M,32,96,192,42,DESLOC,0,4
33,rq1_kx,125M,8,24,48,137,DESLOC,0,3
34,rq2_ratio,125M,32,96,192,137,DESLOC,0,4
35,rq1_kx,125M,16,48,96,42,DESLOC,0,4
36,rq2_ratio,125M,32,96,384,42,DESLOC,0,3
37,rq1_kx,125M,16,48,96,137,DESLOC,0,3
38,rq2_ratio,125M,32,96,384,137,DESLOC,0,3
39,rq1_kx,125M,32,96,192,42,DESLOC,0,3
40,rq2_ratio,125M,32,192,192,42,DESLOC,0,3
41,rq1_kx,125M,32,96,192,137,DESLOC,0,3
42,rq2_ratio,125M,32,192,192,137,DESLOC,0,4
43,rq1_kx,125M,64,192,384,42,DESLOC,0,3
44,rq2_ratio,125M,32,192,384,42,DESLOC,0,3
45,rq1_kx,125M,64,192,384,137,DESLOC,0,3
46,rq2_ratio,125M,32,192,384,137,DESLOC,0,4
47,rq1_kx,125M,128,384,768,42,DESLOC,0,4
48,rq1_kx,125M,128,384,768,137,DESLOC,0,3
49,baseline,700M,1,1,1,42,DDP,0,3
50,baseline,1.3B,1,1,1,42,DDP,0,3
51,desloc,700M,32,96,192,42,DESLOC,0,3
52,desloc,1.3B,32,96,192,42,DESLOC,0,4
54,local,1.3B,32,32,32,42,LocalAdam,0,3
53,local,700M,32,32,32,42,LocalAdam,0,4
56,rq5_nest,700M,32,96,192,42,DESLOC_nesterov,0,3
55,baseline,1.7B,1,1,1,42,DDP,0,3
58,desloc,1.7B,32,96,192,42,DESLOC,0,3
57,rq5_infreq,700M,256,768,1536,42,DESLOC,0,3
59,multigpu,125M,32,96,192,42,DDP,0,6
60,multigpu,125M,32,96,192,42,DESLOC,0,5
2,baseline,125M,1,1,1,42,DDP,0,4
1,baseline,350M,1,1,1,42,DDP,0,4
4,desloc,350M,32,96,192,42,DESLOC,0,3
3,desloc,125M,32,96,192,42,DESLOC,0,3
6,local,125M,32,32,32,42,LocalAdam,0,4
5,local,350M,32,32,32,42,LocalAdam,0,4
8,baseline,350M,1,1,1,137,DDP,0,3
7,baseline,125M,1,1,1,137,DDP,0,4
10,desloc,125M,32,96,192,137,DESLOC,0,3
9,desloc,350M,32,96,192,137,DESLOC,0,4
12,local,350M,32,32,32,137,LocalAdam,0,3
11,local,125M,32,32,32,137,LocalAdam,0,4
13,baseline,350M,1,1,1,2024,DDP,0,4
14,baseline,125M,1,1,1,2024,DDP,0,3
15,desloc,350M,32,96,192,2024,DESLOC,0,3
16,desloc,125M,32,96,192,2024,DESLOC,0,4
17,local,350M,32,32,32,2024,LocalAdam,0,4
18,local,125M,32,32,32,2024,LocalAdam,0,3
19,rq1_kx,125M,1,1,1,42,DESLOC,0,3
20,rq2_ratio,125M,32,32,32,42,DESLOC,0,3
